108,15-19,MASTER,9,0
108,20-24,MASTER,1,2
108,20-24,MASTER,2,0
108,20-24,MASTER,3,0
108,20-24,MASTER,4,0
108,20-24,MASTER,5,0
108,20-24,MASTER,6,0
108,20-24,MASTER,7,0
108,20-24,MASTER,8,0
108,20-24,MASTER,9,0
108,25-29,MASTER,1,145
108,25-29,MASTER,2,33
108,25-29,MASTER,3,0
108,25-29,MASTER,4,0
108,25-29,MASTER,5,0
108,25-29,MASTER,6,0
108,25-29,MASTER,7,0
108,25-29,MASTER,8,0
108,25-29,MASTER,9,0
108,30-34,MASTER,1,933
108,30-34,MASTER,2,550
108,30-34,MASTER,3,26
108,30-34,MASTER,4,3
108,30-34,MASTER,5,0
108,30-34,MASTER,6,0
108,30-34,MASTER,7,0
108,30-34,MASTER,8,0
108,30-34,MASTER,9,0
108,35-39,MASTER,1,606
108,35-39,MASTER,2,693
108,35-39,MASTER,3,112
108,35-39,MASTER,4,5
108,35-39,MASTER,5,1
108,35-39,MASTER,6,0
108,35-39,MASTER,7,0
108,35-39,MASTER,8,0
108,35-39,MASTER,9,0
108,40-44,MASTER,1,126
108,40-44,MASTER,2,132
108,40-44,MASTER,3,38
108,40-44,MASTER,4,5
108,40-44,MASTER,5,0
108,40-44,MASTER,6,0
108,40-44,MASTER,7,0
108,40-44,MASTER,8,0
108,40-44,MASTER,9,0
108,45-49,MASTER,1,7
108,45-49,MASTER,2,5
108,45-49,MASTER,3,1
108,45-49,MASTER,4,0
108,45-49,MASTER,5,0
108,45-49,MASTER,6,0
108,45-49,MASTER,7,0
108,45-49,MASTER,8,0
108,45-49,MASTER,9,0
108,ABOVE50,MASTER,1,3
108,ABOVE50,MASTER,2,3
108,ABOVE50,MASTER,3,0
108,ABOVE50,MASTER,4,0
108,ABOVE50,MASTER,5,0
108,ABOVE50,MASTER,6,0
108,ABOVE50,MASTER,7,0
108,ABOVE50,MASTER,8,0
108,ABOVE50,MASTER,9,0
108,BELOW15,BACHELOR,1,0
108,BELOW15,BACHELOR,2,0
108,BELOW15,BACHELOR,3,0
108,BELOW15,BACHELOR,4,0
108,BELOW15,BACHELOR,5,0
108,BELOW15,BACHELOR,6,0
108,BELOW15,BACHELOR,7,0
108,BELOW15,BACHELOR,8,0
108,BELOW15,BACHELOR,9,0
108,15-19,BACHELOR,1,0
108,15-19,BACHELOR,2,0
108,15-19,BACHELOR,3,0
108,15-19,BACHELOR,4,0
108,15-19,BACHELOR,5,0
108,15-19,BACHELOR,6,0
108,15-19,BACHELOR,7,0
108,15-19,BACHELOR,8,0
108,15-19,BACHELOR,9,0
108,20-24,BACHELOR,1,149
108,20-24,BACHELOR,2,13
108,20-24,BACHELOR,3,0
108,20-24,BACHELOR,4,0
108,20-24,BACHELOR,5,0
108,20-24,BACHELOR,6,0
108,20-24,BACHELOR,7,0
108,20-24,BACHELOR,8,0
108,20-24,BACHELOR,9,0
108,25-29,BACHELOR,1,1482
108,25-29,BACHELOR,2,507
108,25-29,BACHELOR,3,41
108,25-29,BACHELOR,4,1
108,25-29,BACHELOR,5,0
108,25-29,BACHELOR,6,0
108,25-29,BACHELOR,7,0
108,25-29,BACHELOR,8,0
108,25-29,BACHELOR,9,0
108,30-34,BACHELOR,1,3103
108,30-34,BACHELOR,2,1954
108,30-34,BACHELOR,3,234
108,30-34,BACHELOR,4,14
108,30-34,BACHELOR,5,0
108,30-34,BACHELOR,6,0
108,30-34,BACHELOR,7,0
108,30-34,BACHELOR,8,0
108,30-34,BACHELOR,9,0
108,35-39,BACHELOR,1,1830
108,35-39,BACHELOR,2,1823
108,35-39,BACHELOR,3,327
108,35-39,BACHELOR,4,31
108,35-39,BACHELOR,5,4
108,35-39,BACHELOR,6,1
108,35-39,BACHELOR,7,0
108,35-39,BACHELOR,8,0
108,35-39,BACHELOR,9,0
108,40-44,BACHELOR,1,292
108,40-44,BACHELOR,2,361
108,40-44,BACHELOR,3,85
108,40-44,BACHELOR,4,9
108,40-44,BACHELOR,5,2
108,40-44,BACHELOR,6,0
